"seed","nind","size","seq","od","bias","maf","oaf","rho","ploidy","delta","pAB","pAb","paB","pab","updog_rho","polyrad_rho","uniform_rho","horse_rho"
157,10,10,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.280803683542712,0.274269487457602,0.241982420441428,0.334088745045991
193,100,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.93603413744858,0.934422536741583,0.919597105743623,0.922371512443188
101,1000,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.901514495914202,0.900854656820364,0.888692418731526,0.886435402010936
157,10000,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.930837954083469,0.921474604920361,0.609195009074304,0.494471809833381
112,10000,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.916242569809505,0.907399232964357,0.601664370229244,0.475709970637325
90,100,10,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.779539174629585,0.774466318163117,0.646850119341343,0.606161024740157
99,1000,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.905667595097075,0.905124829800347,0.894387604678441,0.892559953578359
137,10,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.479752689414685,0.480177360849298,0.457767397991462,0.457768255616226
169,100,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.380481246089336,0.376696244518276,0.248732826114046,0.197093305231247
29,10,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,1,1,1,1
42,1000,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.906351611534225,0.905649845470974,0.896328573795457,0.892267415850827
85,10,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.506420297313369,0.506564553171832,0.365182667678158,0.0995298729211485
54,10000,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.874387178460875,0.865594232746583,0.572812239446199,0.465913869617325
145,10,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,1,1,1,0.726168262234718
16,10000,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.908975375667921,0.899944798437094,0.595528733367511,0.478578973019531
103,10000,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.924486080685901,0.915285814757682,0.605485217447423,0.48834873951331
95,10000,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.896693426531276,0.896371181487733,0.88396598155907,0.88112996899096
81,1000,10,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.867124483286273,0.862595845852093,0.71138869603145,0.644218356991279
4,10,10,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.721623840092296,0.718383020777678,0.565418777990446,0.568231810347086
82,100,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.47620999949976,0.472818703812062,0.312890559256846,0.225103291176182
145,1000,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.906212300051702,0.89723081301918,0.591080100481954,0.472191475629724
101,100,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.882797766813312,0.882582409867579,0.869500638010075,0.868209808315092
173,10000,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.935380929348697,0.926013628866003,0.612376054214729,0.492980479424288
114,10,10,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,1,1,1,0.939322298701503
51,10,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,-0.0626677598297277,-0.0624493857187116,-0.0439091890698784,-0.00817728226997944
120,1000,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.881032327740375,0.880156032710452,0.86767653578285,0.865388269659142
78,10,100,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,1,1,1,1
107,10,10,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.988398600253872,0.984931421488449,0.808825389830834,0.725017035287284
119,1000,10,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.885647817443685,0.880958169377984,0.725898299890845,0.650758696822517
80,10,10,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,-0.538685492978171,-0.538662518233843,-0.43825137837718,-0.256819838992771
86,10000,5,0.01,0.01,1,0.5,0.5,0.9,8,0.225,0.475,0.025,0.025,0.475,0.924186044692435,0.914948413860136,0.604787387191634,0.48889591987122
